"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Londrigan Betsy Dirksen","$2700","$2700","$0","Candidate (D-IL13)","Democrat","Cand","House"
"Cramer Kevin","$2700","$2700","$0","Candidate (R-ND01)","Republican","Cand","House"
"Katko John","$2700","$2700","$0","Candidate (R-NY24)","Republican","Cand","House"
"Bacon Donald John","$2700","$2700","$0","Candidate (R-NE02)","Republican","Cand","House"
"Faso John","$2700","$2700","$0","Candidate (R-NY19)","Republican","Cand","House"
"Radinovich Joe","$2700","$2700","$0","Candidate (D-MN08)","Democrat","Cand","House"
"Renacci Jim","$2700","$2700","$0","Candidate (R-OH16)","Republican","Cand","House"
"McSally Martha","$2700","$2700","$0","Candidate (R-AZ02)","Republican","Cand","House"
"Coleman Linda","$2360","$2360","$0","Candidate (D-NC02)","Democrat","Cand","House"
"Bryce Randy","$2005","$2005","$0","Candidate (D-WI01)","Democrat","Cand","House"
"Taylor Van","$2000","$2000","$0","Candidate (R-TX03)","Republican","Cand","House"
"Manning Kathy","$1855","$1855","$0","Candidate (D-NC13)","Democrat","Cand","House"
"Long Carolyn","$1810","$1810","$0","Candidate (D-WA03)","Democrat","Cand","House"
"Small Xochitl Torres","$1809","$1809","$0","Candidate (D-NM02)","Democrat","Cand","House"
"Shalala Donna","$1804","$1804","$0","Candidate (D-FL27)","Democrat","Cand","House"
"Forde Brian","$1500","$1500","$0","Candidate (D-CA45)","Democrat","Cand","House"
"Jones Gina Ortiz","$1363","$1363","$0","Candidate (D-TX23)","Democrat","Cand","House"
"Ryan Pat","$1363","$1363","$0","Candidate (D-NY19)","Democrat","Cand","House"
"Huffstetler Roger Dean","$1363","$1363","$0","Candidate (D-VA05)","Democrat","Cand","House"
"Ward John","$1250","$1250","$0","Candidate (R-FL06)","Republican","Cand","House"
"Maloney Carolyn B","$1100","$1100","$0","Candidate (D-NY12)","Democrat","Cand","House"
"Casten Sean","$1000","$1000","$0","Candidate (D-IL06)","Democrat","Cand","House"
"Kier Grant","$1000","$1000","$0","Candidate (D-MT01)","Democrat","Cand","House"
"Hunter Duncan D","$1000","$1000","$0","Candidate (R-CA50)","Republican","Cand","House"
"Kinzinger Adam","$1000","$1000","$0","Candidate (R-IL16)","Republican","Cand","House"
"Wexton Jennifer","$1000","$1000","$0","Candidate (D-VA10)","Democrat","Cand","House"
"Reddick Rachel","$1000","$1000","$0","Candidate (D-PA01)","Democrat","Cand","House"
"Meier Edward","$1000","$1000","$0","Candidate (D-TX32)","Democrat","Cand","House"
"Scholten JD","$630","$630","$0","Candidate (D-IA04)","Democrat","Cand","House"
"Campoverdi Alejandra","$500","$500","$0","Candidate (D-CA34)","Democrat","Cand","House"
"Patel Suraj","$400","$400","$0","Candidate (D-NY12)","Democrat","Cand","House"
"Galvin Alyse","$132","$132","$0","Candidate (D-AK01)","Democrat","Cand","House"
"Lewis John","$125","$125","$0","Candidate (D-GA05)","Democrat","Cand","House"
"Rosen Jacky","$125","$125","$0","Candidate (D-NV03)","Democrat","Cand","House"
"Golden Jared","$82","$82","$0","Candidate (D-ME02)","Democrat","Cand","House"
"King Jess","$77","$77","$0","Candidate (D-PA11)","Democrat","Cand","House"
"Ghorbani Shireen","$77","$77","$0","Candidate (D-UT02)","Democrat","Cand","House"
"Palmer Susan","$77","$77","$0","Candidate (D-OH16)","Democrat","Cand","House"
"Bush Diane Mitsch","$77","$77","$0","Candidate (D-CO03)","Democrat","Cand","House"
"Balter Dana","$77","$77","$0","Candidate (D-NY24)","Democrat","Cand","House"
"Horton Kyle","$77","$77","$0","Candidate (D-NC07)","Democrat","Cand","House"
"McCormick Karen","$77","$77","$0","Candidate (D-CO04)","Democrat","Cand","House"
"Morse Jessica","$77","$77","$0","Candidate (D-CA04)","Democrat","Cand","House"
"Mitrano Tracy","$77","$77","$0","Candidate (D-NY23)","Democrat","Cand","House"
"Gasper Theresa","$77","$77","$0","Candidate (D-OH10)","Democrat","Cand","House"
"Ojeda Richard","$55","$55","$0","Candidate (D-WV03)","Democrat","Cand","House"
"Pureval Aftab","$55","$55","$0","Candidate (D-OH01)","Democrat","Cand","House"
"Finkenauer Abby","$53","$53","$0","Candidate (D-IA01)","Democrat","Cand","House"
"Carlson Kristen","$50","$50","$0","Candidate (D-FL15)","Democrat","Cand","House"
"Haaland Debra","$50","$50","$0","Candidate (D-NM01)","Democrat","Cand","House"
"Albro Catherine","$50","$50","$0","Candidate (D-MI03)","Democrat","Cand","House"
"Wallace Scott","$50","$50","$0","Candidate (D-PA01)","Democrat","Cand","House"
"Scott George","$50","$50","$0","Candidate (D-PA10)","Democrat","Cand","House"
"Kulkarni Sri","$27","$27","$0","Candidate (D-TX22)","Democrat","Cand","House"
"Kohl Dan","$25","$25","$0","Candidate (D-WI06)","Democrat","Cand","House"
"Rouda Harley","$25","$25","$0","Candidate (D-CA48)","Democrat","Cand","House"
"Cox TJ","$5","$5","$0","Candidate (D-CA21)","Democrat","Cand","House"
"Cockburn Leslie","$5","$5","$0","Candidate (D-VA05)","Democrat","Cand","House"
"Brindisi Anthony","$5","$5","$0","Candidate (D-NY22)","Democrat","Cand","House"
"Tucker Clarke","$5","$5","$0","Candidate (D-AR02)","Democrat","Cand","House"
"Davis Paul","$5","$5","$0","Candidate (D-KS02)","Democrat","Cand","House"
"Williams Kathleen","$5","$5","$0","Candidate (D-MT01)","Democrat","Cand","House"
