first,last,party,donations2012,donations2014,donations2016,donations2018
Kumar,Barve,D,0.0,0.0,150.0,0.0
Jamie,Raskin,D,0.0,0.0,125.0,0.0
Patrick,Murphy,D,0.0,0.0,105.0,0.0
LuAnn,Bennett,D,0.0,0.0,58.0,0.0
Eric,Swalwell,D,0.0,0.0,50.0,5.0
Christina,Hartman,D,0.0,0.0,25.0,0.0
Morgan,Carroll,D,0.0,0.0,25.0,0.0
Alan,Grayson,D,0.0,0.0,20.0,0.0
Rick,Nolan,D,0.0,0.0,18.0,0.0
Nanette,Barragan,D,0.0,0.0,18.0,0.0
Paul,Clements,D,0.0,0.0,18.0,0.0
Ruben,Kihuen,D,0.0,0.0,7.0,0.0
Mark,Wicklund,D,0.0,0.0,7.0,0.0
Doug,Owens,D,0.0,0.0,7.0,0.0
Bill,Otto,D,0.0,0.0,7.0,0.0
Terri,Bonoff,D,0.0,0.0,7.0,0.0
Steve,Santarsiero,D,0.0,0.0,7.0,0.0
Stephen,Tryon,D,0.0,0.0,7.0,0.0
Bryan,Caforio,D,0.0,0.0,7.0,0.0
Lon,Johnson,D,0.0,0.0,4.0,0.0
Eyes,Iron,D,0.0,0.0,4.0,0.0
Shaun,Brown,D,0.0,0.0,1.0,0.0
Don,Beyer,D,0.0,0.0,1.0,6.0
Jane,Dittmar,D,0.0,0.0,1.0,0.0
Eileen,Bedell,D,0.0,0.0,1.0,0.0
Matt,Rowe,D,0.0,0.0,1.0,0.0
Donald,McEachin,D,0.0,0.0,1.0,6.0
Nancy,Soderberg,D,0.0,0.0,0.0,13550.0
Jon,Ossoff,D,0.0,0.0,0.0,13192.0
Elissa,Slotkin,D,0.0,0.0,0.0,9725.0
Beto,O'Rourke,D,0.0,0.0,0.0,8723.0
Tom,Malinowski,D,0.0,0.0,0.0,8105.0
Jacky,Rosen,D,0.0,0.0,0.0,7300.0
Antonio,Delgado,D,0.0,0.0,0.0,7008.0
Jason,Crow,D,0.0,0.0,0.0,6909.0
Mikie,Sherrill,D,0.0,0.0,0.0,6740.0
Susie,Lee,D,0.0,0.0,0.0,6721.0
Daniel,Feehan,D,0.0,0.0,0.0,6428.0
Angie,Craig,D,0.0,0.0,0.0,6400.0
Liuba,Shirley,D,0.0,0.0,0.0,6225.0
Amy,McGrath,D,0.0,0.0,0.0,6152.0
Elaine,Luria,D,0.0,0.0,0.0,6080.0
Katie,Porter,D,0.0,0.0,0.0,5447.0
Andy,Kim,D,0.0,0.0,0.0,4963.0
Danny,O'Connor,D,0.0,0.0,0.0,4788.0
Gina,Jones,D,0.0,0.0,0.0,4704.0
Frank,McNeill,D,0.0,0.0,0.0,4700.0
Lizzie,Fletcher,D,0.0,0.0,0.0,4665.0
Leslie,Cockburn,D,0.0,0.0,0.0,3808.0
Katie,Hill,D,0.0,0.0,0.0,3808.0
Mike,Levin,D,0.0,0.0,0.0,3727.0
Donna,Shalala,D,0.0,0.0,0.0,3705.0
Joe,Radinovich,D,0.0,0.0,0.0,3701.0
Dan,McCready,D,0.0,0.0,0.0,3700.0
Kyrsten,Sinema,D,0.0,0.0,0.0,3700.0
Kim,Schrier,D,0.0,0.0,0.0,3700.0
Paul,Davis,D,0.0,0.0,0.0,3408.0
Betsy,Londrigan,D,0.0,0.0,0.0,3300.0
Colin,Allred,D,0.0,0.0,0.0,3278.0
Sharice,Davids,D,0.0,0.0,0.0,3235.0
Fayrouz,Saad,D,0.0,0.0,0.0,3200.0
James,Thompson,D,0.0,0.0,0.0,3000.0
Josh,Harder,D,0.0,0.0,0.0,2979.0
Abigail,Spanberger,D,0.0,0.0,0.0,2822.0
Susan,Wild,D,0.0,0.0,0.0,2809.0
Perry,Gershon,D,0.0,0.0,0.0,2800.0
Ed,Royce,R,0.0,0.0,0.0,2700.0
Holly,Lynch,D,0.0,0.0,0.0,2700.0
Pat,Ryan,D,0.0,0.0,0.0,2700.0
Conor,Lamb,D,0.0,0.0,0.0,2621.0
Ashley,Lunkenheimer,D,0.0,0.0,0.0,2500.0
Max,Rose,D,0.0,0.0,0.0,2353.0
Haley,Stevens,D,0.0,0.0,0.0,2250.0
Maura,Sullivan,D,0.0,0.0,0.0,2250.0
Mary,Scanlon,D,0.0,0.0,0.0,2000.0
JD,Scholten,D,0.0,0.0,0.0,1860.0
Kathleen,Williams,D,0.0,0.0,0.0,1814.0
Jared,Golden,D,0.0,0.0,0.0,1751.0
Ben,McAdams,D,0.0,0.0,0.0,1622.0
Sean,Casten,D,0.0,0.0,0.0,1606.0
Cindy,Axne,D,0.0,0.0,0.0,1601.0
Betsy,Rader,D,0.0,0.0,0.0,1504.0
Adem,Bunkeddeko,D,0.0,0.0,0.0,1500.0
Lauren,Underwood,D,0.0,0.0,0.0,1417.0
Carlos,Curbelo,R,0.0,0.0,0.0,1300.0
Harley,Rouda,D,0.0,0.0,0.0,1183.0
Gretchen,Driskell,D,0.0,0.0,0.0,1120.0
Linda,Coleman,D,0.0,0.0,0.0,1109.0
Gil,Cisneros,D,0.0,0.0,0.0,1108.0
Aftab,Pureval,D,0.0,0.0,0.0,1079.0
Andrew,Janz,D,0.0,0.0,0.0,1068.0
Lucy,McBath,D,0.0,0.0,0.0,1052.0
Roger,Huffstetler,D,0.0,0.0,0.0,1025.0
Brendan,Kelly,D,0.0,0.0,0.0,1011.0
Tom,O'Halleran,D,0.0,0.0,0.0,1005.0
Steve,Scalise,R,0.0,0.0,0.0,1000.0
Dean,Phillips,D,0.0,0.0,0.0,1000.0
Rodney,Frelinghuysen,R,0.0,0.0,0.0,1000.0
Josh,Welle,D,0.0,0.0,0.0,1000.0
Kathy,Manning,D,0.0,0.0,0.0,1000.0
Ro,Khanna,D,0.0,0.0,0.0,1000.0
Steven,Horsford,D,0.0,0.0,0.0,1000.0
Chrissy,Houlahan,D,0.0,0.0,0.0,1000.0
Edward,Meier,D,0.0,0.0,0.0,1000.0
Ralph,Baxter,D,0.0,0.0,0.0,1000.0
Ami,Bera,D,0.0,0.0,0.0,1000.0
Andrea,Ramsey,D,0.0,0.0,0.0,1000.0
Dylan,Ratigan,D,0.0,0.0,0.0,1000.0
Carolyn,Long,D,0.0,0.0,0.0,807.0
Trey,Hollingsworth,R,0.0,0.0,0.0,800.0
Justin,Kanew,D,0.0,0.0,0.0,750.0
Debbie,Mucarsel-Powell,D,0.0,0.0,0.0,743.0
Joseph,Kopser,D,0.0,0.0,0.0,700.0
Kristen,Carlson,D,0.0,0.0,0.0,671.0
George,Scott,D,0.0,0.0,0.0,619.0
Dominick,Moreno,D,0.0,0.0,0.0,600.0
Xochitl,Small,D,0.0,0.0,0.0,563.0
Beau,Liegeois,D,0.0,0.0,0.0,500.0
Randy,Hultgren,R,0.0,0.0,0.0,500.0
Rufus,Gifford,D,0.0,0.0,0.0,500.0
Dan,Kohl,D,0.0,0.0,0.0,500.0
Danner,Kline,D,0.0,0.0,0.0,500.0
Anthony,Flaccavento,D,0.0,0.0,0.0,500.0
Alexandria,Ocasio-Cortez,D,0.0,0.0,0.0,497.0
Robert,Quist,D,0.0,0.0,0.0,430.0
Cheri,Bustos,D,0.0,0.0,0.0,404.0
Randy,Bryce,D,0.0,0.0,0.0,402.0
Lauren,Baer,D,0.0,0.0,0.0,400.0
Stephanie,Murphy,D,0.0,0.0,0.0,396.0
Julia,Brownley,D,0.0,0.0,0.0,396.0
Jill,Schiller,D,0.0,0.0,0.0,300.0
Francis,Rooney,R,0.0,0.0,0.0,300.0
Jason,Rittereiser,D,0.0,0.0,0.0,300.0
Suraj,Patel,D,0.0,0.0,0.0,264.0
Kyle,Frenette,D,0.0,0.0,0.0,250.0
Raja,Krishnamoorthi,D,0.0,0.0,0.0,250.0
Cort,Vanostran,D,0.0,0.0,0.0,250.0
Ammar,Campa-Najjar,D,0.0,0.0,0.0,215.0
Alyse,Galvin,D,0.0,0.0,0.0,204.0
Anthony,Brindisi,D,0.0,0.0,0.0,178.0
MJ,Hegar,D,0.0,0.0,0.0,155.0
Richard,Ojeda,D,0.0,0.0,0.0,154.0
Dana,Balter,D,0.0,0.0,0.0,138.0
Jahana,Hayes,D,0.0,0.0,0.0,138.0
Nate,McMurray,D,0.0,0.0,0.0,128.0
Tracy,Mitrano,D,0.0,0.0,0.0,125.0
Jim,Keady,D,0.0,0.0,0.0,100.0
Scott,Wallace,D,0.0,0.0,0.0,100.0
Tedra,Cobb,D,0.0,0.0,0.0,100.0
Ken,Harbaugh,D,0.0,0.0,0.0,100.0
TJ,Cox,D,0.0,0.0,0.0,83.0
Keith,Ellison,D,0.0,0.0,0.0,80.0
Clarke,Tucker,D,0.0,0.0,0.0,77.0
David,Pechefsky,D,0.0,0.0,0.0,75.0
Jessica,McClure,D,0.0,0.0,0.0,75.0
Jess,King,D,0.0,0.0,0.0,59.0
John,Lewis,D,0.0,0.0,0.0,58.0
David,Richardson,D,0.0,0.0,0.0,55.0
Paul,Tonko,D,0.0,0.0,0.0,50.0
Kara,Eastman,D,0.0,0.0,0.0,48.0
Ayanna,Pressley,D,0.0,0.0,0.0,38.0
Frank,Pallone,D,0.0,0.0,0.0,25.0
Mark,Osmack,D,0.0,0.0,0.0,25.0
Kyle,Horton,D,0.0,0.0,0.0,25.0
Susan,Palmer,D,0.0,0.0,0.0,25.0
Bennie,Thompson,D,0.0,0.0,0.0,25.0
Karen,McCormick,D,0.0,0.0,0.0,25.0
Jessica,Morse,D,0.0,0.0,0.0,25.0
Shireen,Ghorbani,D,0.0,0.0,0.0,25.0
Theresa,Gasper,D,0.0,0.0,0.0,25.0
Diane,Bush,D,0.0,0.0,0.0,25.0
Jeramey,Anderson,D,0.0,0.0,0.0,25.0
Brad,Schneider,D,0.0,0.0,0.0,20.0
Abby,Finkenauer,D,0.0,0.0,0.0,19.0
Dan,Koh,D,0.0,0.0,0.0,15.0
Pete,Aguilar,D,0.0,0.0,0.0,13.0
Reuben,D'Silva,D,0.0,0.0,0.0,10.0
Jennifer,Wexton,D,0.0,0.0,0.0,9.0
Liz,Watson,D,0.0,0.0,0.0,8.0
Douglas,Applegate,D,0.0,0.0,0.0,5.0
Adam,Schiff,D,0.0,0.0,0.0,5.0
Flores,Barzee,D,0.0,0.0,0.0,4.0
Mallory,Hagan,D,0.0,0.0,0.0,2.0
